<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240612,160000,2450.39,2450.73,2440.97,2442.04,1890488,0
WIG20,60,20240612,170000,2442.06,2449.57,2440.93,2442.89,5132091,0
WIG20,60,20240613,100000,2441,2441.78,2428.95,2432.38,1437391,0
WIG20,60,20240613,110000,2432.31,2434.12,2421.34,2427.62,1220194,0
WIG20,60,20240613,120000,2427.11,2428.75,2411.23,2416.62,1232859,0
WIG20,60,20240613,130000,2416.62,2418.39,2414.27,2417.54,776642,0
WIG20,60,20240613,140000,2417.59,2420.18,2414.24,2416.92,717012,0
WIG20,60,20240613,150000,2417.12,2427.62,2417.12,2421.57,1233815,0
WIG20,60,20240613,160000,2420.78,2421.64,2408.4,2408.83,1826046,0
WIG20,60,20240613,170000,2409.37,2410.71,2399.53,2401.63,4902116,0
WIG20,60,20240614,100000,2412.13,2412.13,2395.17,2399.48,1566820,0
